date,timestamp,open,high,low,close,volume,vwap,india_vix
2024-01-01,2024-01-01 09:15:00,22000.0,22009.82,21983.93,22000.0,171342,21997.92,14.26
2024-01-01,2024-01-01 09:20:00,22000.0,22002.8,21977.64,21980.62,202770,21987.02,14.26
2024-01-01,2024-01-01 09:25:00,21980.62,21995.2,21969.45,21989.57,97895,21984.74,14.28
2024-01-01,2024-01-01 09:30:00,21989.57,22004.35,21987.26,21997.73,423206,21996.45,14.27
2024-01-01,2024-01-01 09:35:00,21997.73,22035.68,21981.67,22020.38,340226,22012.58,14.3
2024-01-01,2024-01-01 09:40:00,22020.38,22023.78,21997.65,22011.51,280793,22010.98,14.29
2024-01-01,2024-01-01 09:45:00,22011.51,22015.66,21986.25,22003.75,226728,22001.89,14.31
2024-01-01,2024-01-01 09:50:00,22003.75,22021.86,21985.38,21995.07,163743,22000.77,14.31
2024-01-01,2024-01-01 09:55:00,21995.07,21997.39,21966.83,21979.42,194236,21981.21,14.29
2024-01-01,2024-01-01 10:00:00,21979.42,21983.5,21920.49,21930.38,247510,21944.79,14.35
2024-01-01,2024-01-01 10:05:00,21930.38,21960.63,21915.5,21951.76,126572,21942.63,14.38
2024-01-01,2024-01-01 10:10:00,21951.76,21973.91,21941.62,21970.53,136243,21962.02,14.32
2024-01-01,2024-01-01 10:15:00,21970.53,21975.38,21926.33,21943.03,83478,21948.25,14.31
2024-01-01,2024-01-01 10:20:00,21943.03,21959.8,21931.63,21937.21,119523,21942.88,14.35
2024-01-01,2024-01-01 10:25:00,21937.21,21941.06,21912.82,21925.19,316323,21926.35,14.31
2024-01-01,2024-01-01 10:30:00,21925.19,21960.12,21902.53,21913.94,142386,21925.53,14.33
2024-01-01,2024-01-01 10:35:00,21913.94,21918.48,21872.46,21874.37,143323,21888.44,14.35
2024-01-01,2024-01-01 10:40:00,21874.37,21879.56,21846.63,21864.6,184814,21863.6,14.33
2024-01-01,2024-01-01 10:45:00,21864.6,21882.78,21854.48,21878.99,85400,21872.08,14.33
2024-01-01,2024-01-01 10:50:00,21878.99,21937.97,21867.45,21932.01,237554,21912.48,14.27
2024-01-01,2024-01-01 10:55:00,21932.01,21944.61,21928.86,21942.43,270104,21938.63,14.32
2024-01-01,2024-01-01 11:00:00,21942.43,21950.3,21926.51,21947.47,189267,21941.43,14.31
2024-01-01,2024-01-01 11:05:00,21947.47,21974.1,21932.84,21939.93,315066,21948.96,14.34
2024-01-01,2024-01-01 11:10:00,21939.93,21952.34,21894.73,21930.71,95728,21925.92,14.36
2024-01-01,2024-01-01 11:15:00,21930.71,21970.53,21929.47,21952.04,340267,21950.68,14.4
2024-01-01,2024-01-01 11:20:00,21952.04,21960.67,21933.51,21960.42,121504,21951.53,14.38
2024-01-01,2024-01-01 11:25:00,21960.42,21982.47,21950.04,21950.5,97541,21961.0,14.39
2024-01-01,2024-01-01 11:30:00,21950.5,21964.62,21920.28,21932.95,148011,21939.28,14.41
2024-01-01,2024-01-01 11:35:00,21932.95,21946.01,21919.53,21932.39,344139,21932.64,14.43
2024-01-01,2024-01-01 11:40:00,21932.39,21933.74,21923.93,21924.49,161493,21927.39,14.47
2024-01-01,2024-01-01 11:45:00,21924.49,21932.7,21922.68,21927.01,112079,21927.46,14.45
2024-01-01,2024-01-01 11:50:00,21927.01,21935.68,21923.48,21925.11,96957,21928.09,14.43
2024-01-01,2024-01-01 11:55:00,21925.11,21935.48,21915.37,21935.43,156053,21928.76,14.47
2024-01-01,2024-01-01 12:00:00,21935.43,21941.71,21896.18,21902.12,73277,21913.34,14.41
2024-01-01,2024-01-01 12:05:00,21902.12,21934.23,21891.91,21930.82,96753,21918.99,14.46
2024-01-01,2024-01-01 12:10:00,21930.82,22011.53,21917.07,22003.94,301711,21977.51,14.45
2024-01-01,2024-01-01 12:15:00,22003.94,22041.03,21999.42,22035.46,276317,22025.31,14.45
2024-01-01,2024-01-01 12:20:00,22035.46,22045.73,22023.22,22041.24,154605,22036.73,14.43
2024-01-01,2024-01-01 12:25:00,22041.24,22064.66,22034.46,22064.56,135095,22054.56,14.43
2024-01-01,2024-01-01 12:30:00,22064.56,22074.72,22028.46,22037.84,166608,22047.01,14.47
2024-01-01,2024-01-01 12:35:00,22037.84,22053.05,21994.75,21995.97,416315,22014.59,14.49
2024-01-01,2024-01-01 12:40:00,21995.97,22026.64,21987.66,22016.4,191375,22010.23,14.5
