experiment_id,model,dataset,frequency,context_min,horizon_min,features,target,seed,MAE,RMSE,MASE,direction_accuracy,F1,CRPS,inference_ms,notes
EXP-001,LSTM,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0359562188386917,0.040111300675869,10.647476473348364,0.2787878787878788,0.1453396524486571,,0.0134535151515234,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-002,GRU,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0156616978347301,0.0201375776664098,4.637794646208351,0.2949494949494949,0.2157995662650183,,0.0096389878788411,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-003,Transformer,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0148472199216485,0.0183468688882091,4.396608706816226,0.2828282828282828,0.1669753862096996,,0.025393458585855,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-004,PatchTST,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0076752235181629,0.0093064756612727,2.272813006394077,0.2787878787878788,0.1529562130177514,,0.0250057636364287,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-005,CARD,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0271704755723476,0.0304336987751154,8.045812623516232,0.2787878787878788,0.1453396524486571,,0.0352551090909079,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-006,"Moirai (reproduced, zero-shot-arch)",SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0148803694173693,0.0186910449962723,4.4064250469985655,0.2787878787878788,0.1453396524486571,0.0053790351375937,0.0968409575757459,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-007,Moirai + Financial Encoder,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0043675578199326,0.0055016609214234,1.2933359133881093,0.2686868686868687,0.147043643420455,0.0014758455799892,0.0718297575757549,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-008,Optimized Moirai (+Regime),SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0059978109784424,0.007552938026066,1.7760919625908014,0.2747474747474747,0.1525801306786026,0.0021125082857906,0.0855107474747988,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-009,Naive,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0035734746651138,0.0044868618332555,1.058189338417404,0.3252525252525252,0.1636178861788617,,0.0,Tier 1 classical ML baseline
EXP-010,Logistic Regression,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,,,,0.2868686868686869,0.1993296167153172,,0.0014486727272556,Tier 1 classical ML baseline
EXP-011,Random Forest,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0053004469173655,0.006489979094646,1.569586171006165,0.2949494949494949,0.2297849052329757,,0.0373830161615934,Tier 1 classical ML baseline
EXP-012,XGBoost,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0045246775634823,0.0056662289993559,1.3398627403731451,0.3272727272727272,0.3047226361557751,,0.0055025191919283,Tier 1 classical ML baseline
EXP-013,SVR,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0098295387915535,0.0109352704537136,2.910756091914472,,,,0.1480023797980858,Tier 1 classical ML baseline
EXP-014,Naive,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0035734746651138,0.0044868618332555,1.058189338417404,0.3252525252525252,0.1636178861788617,,0.0,Tier 1 classical ML baseline
EXP-015,Logistic Regression,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,,,,0.2848484848484848,0.1983210347028105,,0.0009383838400338,Tier 1 classical ML baseline
EXP-016,Random Forest,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0053056153037226,0.0064951515518431,1.5711166509598122,0.2949494949494949,0.2297849052329757,,0.1962165656614804,Tier 1 classical ML baseline
EXP-017,XGBoost,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0045246775634823,0.0056662289993559,1.3398627403731451,0.3272727272727272,0.3047226361557751,,0.0061084848541691,Tier 1 classical ML baseline
EXP-018,SVR,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0098295387915535,0.0109352704537136,2.910756091914472,,,,0.189013333345594,Tier 1 classical ML baseline
EXP-019,LSTM,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.03595621883869171,0.04011130357817622,10.647476473348364,0.2787878787878788,0.14533965244865718,,0.07402202019801908,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-020,GRU,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.015661701560020447,0.02013758200215884,4.637795749353845,0.29494949494949496,0.21579956626501837,,0.012825050531190377,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-021,Transformer,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.014843106269836426,0.018350255348555444,4.395390558403982,0.2828282828282828,0.16697538620969968,,0.017247878772328896,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-022,PatchTST,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.007657140493392944,0.009285616871970685,2.267458200270842,0.2787878787878788,0.15295621301775147,,0.03334606061054563,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-023,CARD,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.027167541906237602,0.03043123045756856,8.044943896439355,0.2787878787878788,0.14533965244865718,,0.023851313127317662,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-024,"Moirai (reproduced, zero-shot-arch)",SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.01488180086016655,0.018692566999778844,4.406848930654807,0.2787878787878788,0.14533965244865718,0.005379387643188238,0.05805313133286557,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-025,Moirai + Financial Encoder,SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.007550103589892387,0.008749565978280882,2.2357620723516334,0.2686868686868687,0.147043643420455,0.0023117440287023783,0.09423232322201283,Tier 2-5 deep learning (harness: src/models/common.py)
EXP-026,Optimized Moirai (+Regime),SYNTHETIC_NIFTY_5min,5min,45,60,OHLCV+VIX+technical+time,return+direction,42,0.0074052875861525536,0.009026892090940469,2.19287867018686,0.27474747474747474,0.1527655973536426,0.0023948573507368565,0.08819777776623577,Tier 2-5 deep learning (harness: src/models/common.py)
